individualID,projectID,scientificName,scientificAbbreviation,dayCollected,monthCollected,yearCollected,locality,decimalLatitudeOriginal,decimalLongitudeOriginal,decimalLatitude,decimalLongitude,georeferenceProtocol,coordinateUncertaintyInMeters,depthOfColonyinMetersOriginal,depthOfColonyinMetersCorrected,EcoPlotID_full,k_value_GBR1,long_GBR1,lat_GBR1,k_value_GBR4,long_GBR4,lat_GBR4
84,ECO03,Acropora hyacinthus,Ahya,20,5,2021,Miall,-23.15045,150.90317,-23.15045,150.90317,GPS EcoRRAP sites,60,1-May,2.9,KEML_BA1S,5.35,150.905371,-23.149904,3,150.898788,-23.146022
85,ECO03,Acropora hyacinthus,Ahya,20,5,2021,Miall,-23.15045,150.90317,-23.15045,150.90317,GPS EcoRRAP sites,60,1-May,2.9,KEML_BA1S,5.35,150.905371,-23.149904,3,150.898788,-23.146022
86,ECO03,Acropora hyacinthus,Ahya,20,5,2021,Miall,-23.15045,150.90317,-23.15045,150.90317,GPS EcoRRAP sites,60,1-May,2.9,KEML_BA1S,5.35,150.905371,-23.149904,3,150.898788,-23.146022
87,ECO03,Acropora hyacinthus,Ahya,20,5,2021,Miall,-23.15045,150.90317,-23.15045,150.90317,GPS EcoRRAP sites,60,1-May,2.9,KEML_BA1S,5.35,150.905371,-23.149904,3,150.898788,-23.146022
88,ECO03,Acropora hyacinthus,Ahya,22,5,2021,Little_Broadhurst,-18.944082,147.699448,-18.944082,147.699448,GPS EcoRRAP sites,60,1-May,4.7,OCLB_FL1S,5.35,147.700371,-18.944904,5.5,147.688788,-18.946022
89,ECO03,Acropora hyacinthus,Ahya,22,5,2021,Little_Broadhurst,-18.944082,147.699448,-18.944082,147.699448,GPS EcoRRAP sites,60,1-May,4.7,OCLB_FL1S,5.35,147.700371,-18.944904,5.5,147.688788,-18.946022
90,ECO03,Acropora hyacinthus,Ahya,22,5,2021,Little_Broadhurst,-18.944082,147.699448,-18.944082,147.699448,GPS EcoRRAP sites,60,1-May,4.7,OCLB_FL1S,5.35,147.700371,-18.944904,5.5,147.688788,-18.946022
91,ECO03,Acropora hyacinthus,Ahya,22,5,2021,Little_Broadhurst,-18.944082,147.699448,-18.944082,147.699448,GPS EcoRRAP sites,60,1-May,4.7,OCLB_FL1S,5.35,147.700371,-18.944904,5.5,147.688788,-18.946022
92,ECO03,Stylophora pistillata,Spis,22,5,2021,Little_Broadhurst,-18.944082,147.699448,-18.944082,147.699448,GPS EcoRRAP sites,60,1-May,4.7,OCLB_FL1S,5.35,147.700371,-18.944904,5.5,147.688788,-18.946022
93,ECO03,Stylophora pistillata,Spis,22,5,2021,Little_Broadhurst,-18.944082,147.699448,-18.944082,147.699448,GPS EcoRRAP sites,60,1-May,4.7,OCLB_FL1S,5.35,147.700371,-18.944904,5.5,147.688788,-18.946022
94,ECO03,Acropora hyacinthus,Ahya,22,5,2021,Little_Broadhurst,-18.949114,147.693065,-18.949114,147.693065,GPS EcoRRAP sites,60,1-May,4.2,OCLB_BA1S,5.35,147.695371,-18.949904,5.5,147.688788,-18.946022
95,ECO03,Acropora hyacinthus,Ahya,22,5,2021,Little_Broadhurst,-18.949114,147.693065,-18.949114,147.693065,GPS EcoRRAP sites,60,1-May,4.2,OCLB_BA1S,5.35,147.695371,-18.949904,5.5,147.688788,-18.946022
