GBR1_site,decimalLatitude,decimalLongitude,mean_wspeed_u,mean_wspeed_v,mean_wind_speed,sd_wind_speed,cv_wind_speed,min_wind_speed,max_wind_speed,wind_speed_range,wind_vector_magnitude,mean_wind_direction,wind_directional_constancy,wind_directional_variability,predominant_wind_sector,dominant_wind_season,mean_wave_energy_proxy,wind_transport_potential,wind_dispersal_symmetry,wind_retention_potential,wind_exposure_category,wind_seasonal_variability_category,mean_u,mean_v,current_seasonal_variability_category,mean_current_speed,sd_current_speed,cv_current_speed,min_current_speed,max_current_speed,current_speed_range,mean_current_direction,predominant_current_sector,dominant_current_season,current_transport_potential,current_dispersal_symmetry,current_retention_potential,current_exposure_category,current_regime_type
Aken_22_Tydeman,-13.97139198,144.51073,-5.714277183,3.330528739,6.875852016,3.388966844,0.492879549,0.42749663,11.55298158,11.12548495,6.614029438,120.2354884,0.961921435,0.038078565,SE,Winter,542.4066548,6.614029438,0.168935403,0.005538014,Exposed,High,-0.032623513,-0.014540864,Low,0.048043027,0.025145561,0.523396673,0.004896915,0.161282537,0.156385623,65.97663967,NE,Spring,0.035717367,0.320952187,5.340100878,Low_Flow,Steady_Weak
Aken_23,-18.27814191,147.3793548,-4.669791521,2.219560428,5.438108342,1.787503783,0.328699553,1.147489417,8.731654131,7.584164713,5.170435314,115.4218262,0.950778283,0.049221717,SE,Winter,212.2074959,5.170435314,0.141283839,0.009051257,Moderate,High,0.024815913,-0.054999728,Moderate,0.090527845,0.069923683,0.77239973,0.004661812,0.335154111,0.330492299,335.7150729,NW,Spring,0.060339038,0.725875363,3.683677318,High_Flow,Steady_Weak
Aken_23_Magnetic,-19.16577313,146.8520423,-3.270185519,0.910651892,3.794189051,0.937568975,0.247106552,1.045894524,6.084797334,5.03890281,3.394613409,105.5609789,0.894687472,0.105312528,E,Autumn,64.46423021,3.394613409,0.138106859,0.027756268,Sheltered,Low,-0.003441153,-6.83E-04,Low,0.003758644,0.001975554,0.525603019,4.54E-04,0.010798498,0.010344153,78.77472776,E,Summer,0.003508268,0.08446948,17.72267477,Low_Flow,Steady_Weak
Aken_23_Orpheus,-18.56330724,146.4864401,-3.385894326,1.617167889,4.223222307,1.313669245,0.311058512,1.0920699,7.059179374,5.967109474,3.75226763,115.5300332,0.888484517,0.111515483,SE,Autumn,97.47814617,3.75226763,0.19826756,0.026405307,Sheltered,Moderate,-0.025379238,0.024465503,Low,0.040851694,0.015223914,0.372662993,0.014290471,0.086917839,0.072627369,133.9497931,SE,Autumn,0.035251476,0.378746987,3.355712874,Low_Flow,Steady_Weak
Aken_23_Tydeman,-13.9713981,144.5108019,-5.714257348,3.330605739,6.875870535,3.388987449,0.492881219,0.427466677,11.55305391,11.12558723,6.614051075,120.2361512,0.961921991,0.038078009,SE,Winter,542.4125809,6.614051075,0.168940526,0.005537918,Exposed,High,-0.032576246,-0.014505814,Low,0.047990573,0.025128571,0.523614726,0.004906601,0.161169055,0.156262454,65.9971597,NE,Spring,0.035659928,0.321194889,5.353945233,Low_Flow,Steady_Weak
Aken_24,-18.27811911,147.3794505,-4.669803921,2.21955289,5.438117156,1.787499779,0.328698284,1.147502692,8.731679072,7.584176379,5.170443278,115.4216918,0.950778207,0.049221793,SE,Winter,212.2081593,5.170443278,0.14128295,0.009051256,Moderate,High,0.024750675,-0.054919637,Moderate,0.090454547,0.06986273,0.772351777,0.00470016,0.334914181,0.330214022,335.7403026,NW,Spring,0.06023921,0.726374454,3.692892249,High_Flow,Steady_Weak
Aken_24_Lizard,-14.64612119,145.4558245,-4.902590209,4.150867062,6.604378723,3.14831496,0.476701154,0.054059258,11.20888417,11.15482492,6.423790791,130.2535269,0.972656333,0.027343667,SE,Winter,467.5976141,6.423790791,0.257675791,0.004140233,Exposed,High,-0.048548349,0.033032876,Moderate,0.076563619,0.038282227,0.50000545,0.006641046,0.141381837,0.134740791,124.2318382,SE,Winter,0.058720636,0.365908379,3.043845108,Moderate_Flow,Steady_Weak
Aken_24_Magnetic,-19.16585217,146.8521066,-3.270052004,0.910572331,3.794037584,0.937517297,0.247102796,1.045849949,6.084495573,5.038645624,3.394463445,105.5602898,0.894683664,0.105316336,E,Autumn,64.45618343,3.394463445,0.138107641,0.02775838,Sheltered,Low,-0.003436743,-6.82E-04,Low,0.003753792,0.001972259,0.525404433,4.55E-04,0.010780579,0.01032527,78.77782905,E,Summer,0.003503734,0.084461014,17.74595367,Low_Flow,Steady_Weak
Aken_24_Orpheus,-18.56340305,146.4863859,-3.385852301,1.61710533,4.2231623,1.313623956,0.311052208,1.092059852,7.059042791,5.966982939,3.752202747,115.5294478,0.888481777,0.111518223,SE,Autumn,97.47305811,3.752202747,0.198266119,0.026406331,Sheltered,Moderate,-0.02547994,0.024560963,Low,0.040971167,0.015256163,0.372363395,0.014290717,0.087089613,0.072798896,133.9479097,SE,Autumn,0.035390228,0.378100703,3.324685556,Low_Flow,Steady_Weak
Aken_24_Tydeman,-13.97135594,144.5108985,-5.71421313,3.330719696,6.875889776,3.389023652,0.492885105,0.427433982,11.55320716,11.12577317,6.614070259,120.237197,0.961922089,0.038077911,SE,Winter,542.4209231,6.614070259,0.168949283,0.005537888,Exposed,High,-0.032537769,-0.01446444,Low,0.047957464,0.025130181,0.524009805,0.004937971,0.161176462,0.15623849,66.03279238,NE,Spring,0.035607954,0.321528581,5.369542698,Low_Flow,Steady_Weak
