Site,Variable,Latitude,Longitude,overall_mean,overall_median,overall_sd,overall_cv,overall_min,overall_max,overall_range,overall_p25,overall_p75,overall_p95,n_months,n_years,date_start,date_end,variable_type
Amil_21_Davies,v,-18.83054906,147.6380575,-0.024067652,-0.021533367,0.030127144,1.2517691360537946,-0.087179979,0.032649237,0.119829216,-0.044418801,2.742660668553859e-4,0.019889557091952795,110,11,1/12/2014,1/1/2024,current
Amil_21_Davies,wspeed_u,-18.83054906,147.6380575,-4.790279852,-4.806294603,1.2475411755195982,0.2604317939961758,-7.50952241,-1.463953168,6.045569242,-5.721050143,-4.06142592,-2.402913764,110,11,1/12/2014,1/1/2024,wind
Amil_21_Davies,wspeed_v,-18.83054906,147.6380575,2.115859345440036,1.9212251281918282,2.1408119750625816,1.0117931419573432,-2.51572433,6.036052218418813,8.551776548418813,0.3234230261803594,3.9885407253915486,5.36404924,110,11,1/12/2014,1/1/2024,wind
Amil_21_Lizard,u,-14.68697953,145.4395508,-0.066653009,-0.072688732,0.060163223,0.9026332605913773,-0.163572705,0.097112813,0.260685518,-0.123478547,-0.018221456,0.028452415175224424,110,11,1/12/2014,1/1/2024,current
Amil_21_Lizard,v,-14.68697953,145.4395508,0.094721172,0.099160957,0.085811217,0.9059349082278025,-0.127697792,0.2444112654613142,0.3721090574613142,0.025200745768541605,0.17023772790963956,0.21422317000804328,110,11,1/12/2014,1/1/2024,current
Amil_21_Lizard,wspeed_u,-14.68697953,145.4395508,-4.89618636,-5.771294691,2.365085946960122,0.48304655356371173,-8.041585424,2.3838640854979025,10.425449509497904,-6.764913432,-3.451368022,-0.297676436,110,11,1/12/2014,1/1/2024,wind
Amil_21_Lizard,wspeed_v,-14.68697953,145.4395508,4.181444873016275,4.560569847729351,2.5647070230638294,0.6133542593409307,-1.697524709,8.447731396797614,10.145256105797614,2.1656372627948857,6.384379502279989,8.030659565146017,110,11,1/12/2014,1/1/2024,wind
Amil_21_Magnetic,u,-19.16566123,146.8519413,-0.003447169,-0.003339604,0.001864308,0.5408230094078756,-0.008762489,0.001769436,0.010531925000000001,-0.004456268,-0.002413203,-5.34E-04,110,11,1/12/2014,1/1/2024,current
Amil_21_Magnetic,v,-19.16566123,146.8519413,-6.85E-04,-4.70E-04,0.001512579,2.2093274722598566,-0.007411903,0.00282554,0.010237443,-0.001127653,1.1279829941286099e-4,0.001270259,110,11,1/12/2014,1/1/2024,current
Amil_21_Magnetic,wspeed_u,-19.16566123,146.8519413,-3.270339577,-3.264709511,0.9195827596697619,0.2811887689141835,-5.431420492,-0.927759795,4.503660697,-3.866750582,-2.715546753,-1.860721484,110,11,1/12/2014,1/1/2024,wind
