Site Name,k_value_GBR1,lat_GBR1,long_GBR1,mean_temp,sd_temp,skew_temp,kurtosis_temp,MaxMonthMean,mean_duration_DHD,MinMonthMean,mean_duration_DCD,mean_daily_temp_range,mean_annual_temp_range,temporal_autocorr_daily,temporal_autocorr_annual,slope_annual_temp_change
Aken_1243,5.35,-14.779904,145.355371,27.01354236438232,2.0909003390141234,-0.10563607,1.6969293870847955,29.647498939287278,16.88888888888889,24.070440878794507,21.88888888888889,0.2249187767858391,6.768619607545781,0.997818819,0.3319991209277332,0.07203513
Aken_1244,2.35,-14.779904,145.355371,27.110709956431805,2.1510255068130166,-0.079476554,1.7143388697080078,29.840561923604454,15.88888888888889,24.099180386722352,21.22222222222222,0.4366577764106607,7.142458496697435,0.9971302545328201,0.3260674919190568,0.073424825
Ahya_1283,2.35,-14.779904,145.360371,27.11606614937151,2.1518638550474654,-0.07744447,1.7160602800745193,29.84702231311236,15.777777777777779,24.105957664774838,21.22222222222222,0.43147415801654987,7.173637444,0.99708051483926885,0.326171566,0.073583073
Ahya_1285,5.35,-14.779904,145.360371,27.02169480787054,2.0916571621277873,-0.104718846,1.6988322478088609,29.655578772648063,16.88888888888889,24.078705989046366,22,0.2296197176669486,6.8020322794274755,0.997766595,0.3318433887400191,0.072309931
Ahya_1296,0.5,-14.779904,145.360371,27.198197296305562,2.2134345910150865,-0.046891241,1.7451912488161319,30.01731820417112,15,24.12249620816048,21.22222222222222,0.7141273285131942,7.578502555434576,0.9950695754256768,0.31984645237859616,0.074925474
2264,2.35,-14.669904,145.440371,27.10461958838498,1.985526764088463,-0.018859991,1.729647765295146,29.671267423906116,15,24.455953156334193,23.22222222222222,0.3579992013022077,6.605052651102383,0.9969662509774564,0.28692772801110716,0.075313677
2269,5.35,-14.669904,145.440371,27.01776590508018,1.9313523182919545,-0.053797028,1.6965430618828443,29.488637630286494,17,24.427192844009575,25.77777777777778,0.20389677305497766,6.0920314676320055,0.9979313334459321,0.28748713897617906,0.0738618
2286,5.35,-14.699904,145.445371,27.038923712233338,1.9370152810965482,-0.054721598,1.6934292838936644,29.521105395950148,17.555555555555557,24.440304424013753,23.11111111111111,0.2113540896224202,6.120897189091792,0.9980712797188774,0.2987853601849714,0.0744904
2253,5.35,-14.649904,145.450371,27.066211592478382,1.9307917182366332,-0.045946391,1.7112968314838437,29.535822125750077,17.666666666666668,24.477814323677695,21.77777777777778,0.19799071233674273,6.241125599947612,0.9975548770741496,0.27625244923702696,0.073735564
Ahya_1b,0.5,-14.429904,145.450371,27.33442368505335,1.808833646882463,0.081802064,1.8635869854927878,29.68264014633051,14,25.040688373451218,21,0.6749789384514174,6.4296785026787004,0.9919372159237748,0.24957770850511846,0.08247097
Ahya_3b,2.35,-14.429904,145.450371,27.254088010982322,1.738675188891223,0.026553328920701676,1.7869798958147278,29.507074628384686,16,25.026311662696852,22.77777777777778,0.42396026153220606,5.893642172307288,0.9959504265751461,0.2506258593408451,0.079953115
Ahya_10_Lizard,0.5,-14.644904,145.455371,27.299086278640193,2.0578644927367353,0.022117769310461118,1.7976005766266276,29.962450616585485,14.666666666666666,24.57102376632031,21.666666666666664,0.7763011444624769,7.2147873671534555,0.9934636249610139,0.27880270524167805,0.07846832
Ahya_17_Lizard,2.35,-14.644904,145.455371,27.181706599335904,1.979373976257812,-0.017700745,1.7493843107022113,29.73080819600452,15.555555555555555,24.538767948202103,21.666666666666664,0.3705485553951778,6.686630721779466,0.9965523244458749,0.27932565160019956,0.075805797
