Date,Variable,Site,Latitude,Longitude,mean,median,p5,p95,lowest,highest
1/1/2021,wspeed_v,KEGK_BA1S,-23.1965435,150.9368275,3.397085270297072,3.3733586947322567,-2.504940081,9.473577240547723,-5.858089273,11.713996788781174
1/1/2021,wspeed_v,KEHW_BA1S,-23.2018935,150.966579,3.4348402836905976,3.3672921015543364,-2.400000095,9.577002705095035,-5.662538684,11.708412036509783
1/1/2021,wspeed_v,KEML_BA1S,-23.150495,150.90294,3.4401273792627016,3.3649588440134615,-2.432840787,9.565789066491227,-5.817847162,11.827473538532244
1/1/2021,wspeed_v,KEMD_BA1S,-23.1619975,150.9208225,3.4877595877517353,3.4286192919765637,-2.501150319,9.681520674033303,-5.864369447,11.97426658821259
1/1/2021,wspeed_v,KENK_BA1S,-23.0843065,150.885571,3.3284756944829432,3.2836780594722597,-2.202717262,9.200317974549126,-5.234205743,11.329332878082605
1/1/2021,wspeed_v,CBHE_BA1D,-23.428043,151.952453,3.8914770992120515,3.9515285973549834,-1.789246661,9.847403043637247,-4.883336813,12.247112746246192
1/1/2021,wspeed_v,CBHE_BA1S,-23.4284405,151.952418,3.8914819938498892,3.9516783490393617,-1.790304887,9.847609438336931,-4.883377748,12.247644433235518
1/1/2021,wspeed_v,CBHE_BA2D,-23.434075,151.920269,3.8967268827274224,3.936066322747045,-1.77573869,9.872458132371849,-4.825549687,12.332004862160957
1/1/2021,wspeed_v,CBHE_BA2S,-23.433982,151.920934,3.8963803350421182,3.935490486057384,-1.777145676,9.869771783267781,-4.82854147,12.325086141980544
1/1/2021,wspeed_v,CBHE_FL1S,-23.4561755,151.925688,3.897579522999482,3.9262385469966476,-1.752636878,9.920614036,-4.828890681,12.378044377196169
1/1/2021,wspeed_v,CBHE_FR1D,-23.472098,151.977937,3.890701422464222,3.9307224043966547,-1.770856266,9.901739912750458,-4.904705997,12.306536823277852
1/1/2021,wspeed_v,CBHE_FR1S,-23.471972,151.9777105,3.890705077919657,3.930626578290055,-1.770628607,9.901660943574244,-4.904688,12.306816607739465
1/1/2021,wspeed_v,CBHE_FR2D,-23.4708255,151.9510635,3.8938622401210714,3.918747177229306,-1.788462089,9.891350565,-4.874044222,12.366834286642632
1/1/2021,wspeed_v,CBHE_FR2S,-23.470371,151.950669,3.893884613121741,3.9189036733171076,-1.788343163,9.891279853526212,-4.873740095,12.366602650995047
1/1/2021,wspeed_v,CBHE_LA1S,-23.454021,151.968494,3.8906973687237105,3.9373577003957188,-1.781490221,9.873982547135011,-4.900486055,12.282552506716014
1/1/2021,wspeed_v,KENK_FL1S,-23.085374,150.899147,3.5328914639504623,3.4658634869082374,-2.355047831,9.780530688,-5.499859915,12.017813291259692
1/1/2021,wspeed_v,OCCH_BA1S,-18.6532055,147.708533,2.6867875775755574,3.5844896608760495,-5.233831923,7.062446649029671,-8.381652667,9.232090137
1/1/2021,wspeed_v,OCCH_BA2S,-18.660365,147.702675,2.6947417217789105,3.572890321285238,-5.199500772,7.073638692666683,-8.382209784,9.264303084879211
1/1/2021,wspeed_v,OCCH_FL1S,-18.652217,147.7184615,2.682439030545609,3.599639663184063,-5.265479615,7.052894048907458,-8.408556092,9.220312969173834
