Aggregated Date/Time,Variable,Depth,Site Name,Latitude,Longitude,mean,median,p5,p95,lowest,highest
2014-12-01T00:00,NH4,-3,CBHE_BA1S,-23.4284405,151.952418,0.037684211,0.0359339,0.031982428,0.049152888401333174,0.031573987,0.049903325426099245
2014-12-01T00:00,NH4,-3,CBHE_BA2D,-23.434075,151.920269,0.035039322,0.034511106,0.029572218636261145,0.044061099,0.028136828365877033,0.046699825
2014-12-01T00:00,NH4,-3,CBHE_BA2S,-23.433982,151.920934,0.035053412,0.034509517885751746,0.029598514,0.044125832,0.028157828162963017,0.046719795
2014-12-01T00:00,NH4,-3,CBHE_FL1S,-23.4561755,151.925688,0.03340841,0.032498767789034495,0.028033027,0.040861990771286716,0.027293695929659904,0.046493401
2014-12-01T00:00,NH4,-3,CBHE_FR1D,-23.472098,151.977937,0.036003569919062915,0.035527848,0.028642858748199048,0.04486017,0.02855551,0.052906556
2014-12-01T00:00,NH4,-3,CBHE_FR1S,-23.471972,151.9777105,0.035997434671025154,0.035521713,0.028640099,0.044845262,0.028554961271253718,0.052899015
2014-12-01T00:00,NH4,-3,CBHE_FR2D,-23.4708255,151.9510635,0.032780056,0.031984628,0.027094548418045337,0.041619712,0.026018797,0.049727888
2014-12-01T00:00,NH4,-3,CBHE_FR2S,-23.470371,151.950669,0.032805986018167504,0.032026000090725114,0.02712258,0.041595344,0.026049926581161145,0.049707839585697765
2014-12-01T00:00,NH4,-3,CBHE_LA1S,-23.454021,151.968494,0.036341892,0.034882285701505436,0.029884360754618856,0.046634779,0.029460306794400395,0.051284829
2014-12-01T00:00,NH4,-3,KENK_FL1S,-23.085374,150.899147,0.016430943723393977,0.015774955,0.013206002498011085,0.022363972135786406,0.012652316351495177,0.023912088470593076
2014-12-01T00:00,NH4,-3,OCCH_BA1S,-18.6532055,147.708533,0.20385057685767477,0.16617174922803432,0.033902608038454976,0.5406926242305444,0.031857748,0.6067607931905729
2014-12-01T00:00,NH4,-3,OCCH_BA2S,-18.660365,147.702675,0.1975316956162685,0.15123375270273426,0.036881062,0.5388860637561868,0.030319035,0.6136537082946184
2014-12-01T00:00,NH4,-3,OCCH_FL1S,-18.652217,147.7184615,0.2069861259303992,0.17373210986776788,0.033497786,0.5412732729490459,0.032137621,0.6034316026406193
2014-12-01T00:00,NH4,-3,OCDA_BA1D,-18.82579,147.62735,0.22880419688453113,0.2111592055871295,0.029440205,0.5621375385112242,0.025924680859805708,0.6615663950510583
2014-12-01T00:00,NH4,-3,OCDA_BA1S,-18.8259,147.62727,0.22884163331371962,0.21133959038737216,0.029438595,0.5621373711573229,0.025924680857633893,0.6615734450158959
