projectID,scientificAbbreviation,locality,decimalLatitude,decimalLongitude,depthOfColonyinMetersCorrected,EcoPlotID_full
ECO03,Spis,Lizard_Island,-14.649456,145.492929,4.3,ONLI_FR2S_P3
ECO03,Shys,Lady_Musgrave,-23.900253,152.393555,4.3,CBLM_BA1S_P2
ECO03,Shys,Lady_Musgrave,-23.8962565,152.413664,4.3,CBLM_LA1S_P1
ECO03,Shys,Heron,-23.433991,151.9210255,4.3,CBHE_BA2S_P2
ECO03,Pdam,Middle,-23.162055,150.920875,4.3,KEMD_BA1S_P2
ECO03,Pspe,Moore_Reef,-16.881932,146.1842425,4.3,ONMO_BA2S_P1
ECO03,Pmas,Chicken,-18.66017252,147.702942,4.3,OCCH_BA2S_P1
ECO03,Pmas,Lizard_Island,-14.69823,145.4455835,4.3,ONLI_FL1S_P4
ECT1,Aspat,Chicken,-18.670143,147.707036,4.3,Aspat_1509
ECT1,Aken,Moore,-16.8458257,146.231733,4.3,Aken_1077
ECT1,Aken,Tydeman,-13.97110725,144.5102321,4.3,Aken_14_Tydeman
ECT1,Aken,Tydeman,-13.97100432,144.5097088,4.3,Aken_5_Tydeman
ECT1,Aken,Hicks,-14.47518376,145.5023132,4.3,Aken_1462
ECT1,Aken,Myrmidon,-18.27798609,147.3789681,4.3,Aken_15
ECT1,Aken,Pelorus,-18.55969423,146.502187,4.3,Aken_1944
ECT1,Aken,Davies,-18.82669237,147.6265441,4.3,Aken_2017
ECO03,Spis,Chicken,-18.66016,147.70297,4.4,OCCH_BA2S
ECO03,Spis,Lizard_Island,-14.649439,145.492935,4.4,ONLI_FR2S
ECO03,Pver,Chicken,-18.660365,147.702675,4.4,OCCH_BA2S
ECO03,Shys,Lady_Musgrave,-23.8945,152.403644,4.4,CBLM_BA2S_P4
ECO03,Spis,Lady_Musgrave,-23.89628725,152.4137578,4.4,CBLM_LA1S_P12
ECO03,Pdam,Halfway,-23.2016865,150.9665035,4.4,KEHW_BA1S_P2
ECO03,Pmas,Moore_Reef,-16.847236,146.2173505,4.4,ONMO_BA1S_P3
ECO03,Shys,Little_Broadhurst,-18.949567,147.6928,4.4,OCLB_BA1S_P4
ECO03,Pmas,Moore_Reef,-16.8484175,146.2370605,4.4,ONMO_FL1S_P4
ECT1,Aken,Tydeman,-13.97087876,144.509602,4.4,Aken_3_Tydeman
ECT1,Aken,Pelorus,-18.55939474,146.5022841,4.4,Aken_1934
ECT1,Aken,Pelorus,-18.55961669,146.5021827,4.4,Aken_1941
