Site,Latitude,Longitude,Variable,Depth,mmm,mean_annual,monthly_variability
CBHE_BA1D,-23.428043,151.952453,wspeed_v,99999.9,4.342600731963732,1.7998494077429101,0.8381949533265454
CBHE_BA1S,-23.4284405,151.952418,eta,99999.9,-0.015447197674891739,-0.11115465058389414,-0.4506783278096211
CBHE_BA1S,-23.4284405,151.952418,salt,-24,35.62949759834434,35.5812646363767,0.002209940849483576
CBHE_BA1S,-23.4284405,151.952418,salt,-18,35.629824010041204,35.58228150081687,0.0022088878050446556
CBHE_BA1S,-23.4284405,151.952418,salt,-13,35.62950536467147,35.582266147140714,0.002208297427334767
CBHE_BA1S,-23.4284405,151.952418,salt,-9,35.63006316888512,35.583825421839634,0.002205103335065654
CBHE_BA1S,-23.4284405,151.952418,salt,-5.35,35.62990431984252,35.5837886928317,0.0022049321494583226
CBHE_BA1S,-23.4284405,151.952418,salt,-2.35,35.629549210638245,35.58363557518015,0.0022046009522689335
CBHE_BA1S,-23.4284405,151.952418,salt,-0.5,35.629219738887414,35.58286381779329,0.0022033524792539473
CBHE_BA1S,-23.4284405,151.952418,temp,-24,27.305494386015422,25.002576428812255,0.08344541220343746
CBHE_BA1S,-23.4284405,151.952418,temp,-18,27.31159886632418,25.005298541684493,0.08367550682867302
CBHE_BA1S,-23.4284405,151.952418,temp,-13,27.310937389065607,25.005023976965873,0.08368292701744623
CBHE_BA1S,-23.4284405,151.952418,temp,-9,27.327003834565634,25.013559686298937,0.08404156944816808
CBHE_BA1S,-23.4284405,151.952418,temp,-5.35,27.32583989394388,25.01253510888618,0.08404782853212314
CBHE_BA1S,-23.4284405,151.952418,temp,-2.35,27.325277194830043,25.01190841876611,0.08405205402918217
CBHE_BA1S,-23.4284405,151.952418,temp,-0.5,27.323213496008695,25.00981853407717,0.08405468502948286
CBHE_BA1S,-23.4284405,151.952418,u,-24,0.021375236684673164,0.01744662719038073,0.4719444767984452
CBHE_BA1S,-23.4284405,151.952418,u,-18,0.01852560580718445,0.01301794557448831,1.2575537460412007
CBHE_BA1S,-23.4284405,151.952418,u,-13,0.017573435158253485,0.01206573385790071,1.469335781287809
CBHE_BA1S,-23.4284405,151.952418,u,-9,0.019548643294100686,0.013184775197155814,1.4326747014505392
CBHE_BA1S,-23.4284405,151.952418,u,-5.35,0.02006448705307892,0.0127620922749919,1.8031390286576667
CBHE_BA1S,-23.4284405,151.952418,u,-2.35,0.019507396140539614,0.011511120001872998,2.432978241195065
CBHE_BA1S,-23.4284405,151.952418,u,-0.5,0.017398750769979314,0.009063766603053948,5.183460733551108
CBHE_BA1S,-23.4284405,151.952418,v,-24,0.003577629222222222,0.0029854892469950056,0.14746768632581117
CBHE_BA1S,-23.4284405,151.952418,v,-18,0.0019099118662310734,8.089114731411362e-4,5.014224155387409
CBHE_BA1S,-23.4284405,151.952418,v,-13,0.002273746087076594,8.94113196320262e-4,4.102511768124251
CBHE_BA1S,-23.4284405,151.952418,v,-9,0.0052965477777777775,-3.9617315021775435e-4,48.16666248326047
CBHE_BA1S,-23.4284405,151.952418,v,-5.35,0.008770976834325253,5.130374293124935e-4,3.872587484299451
CBHE_BA1S,-23.4284405,151.952418,v,-2.35,0.013161955272536403,0.002371927176001023,1.7640280701343973
CBHE_BA1S,-23.4284405,151.952418,v,-0.5,0.017151853908091045,0.004325905970150385,1.344700778526025
CBHE_BA1S,-23.4284405,151.952418,wspeed_u,99999.9,-2.259384001,-3.6337406471590907,-0.26897435932430547
CBHE_BA1S,-23.4284405,151.952418,wspeed_v,99999.9,4.342694559081041,1.7999371027526816,0.8382122874216852
CBHE_BA2D,-23.434075,151.920269,eta,99999.9,-0.01475247157445494,-0.11107658244068254,-0.4534691119541204
CBHE_BA2D,-23.434075,151.920269,salt,-24,35.636976321538285,35.5836309474625,0.002211508521551543
